,Cases,Deaths,Daily Cases,Daily Deaths,CFR
0,0,0,0,0,0.0
1,0,0,0,0,0.0
2,0,0,0,0,0.0
3,0,0,0,0,0.0
4,0,0,0,0,0.0
5,0,0,0,0,0.0
6,0,0,0,0,0.0
7,0,0,0,0,0.0
8,0,0,0,0,0.0
9,0,0,0,0,0.0
10,2,0,2,0,0.0
11,2,0,0,0,0.0
12,5,0,3,0,0.0
13,7,0,2,0,0.0
14,10,0,3,0,0.0
15,14,0,4,0,0.0
16,18,0,4,0,0.0
17,24,0,6,0,0.0
18,29,0,5,0,0.0
19,43,0,14,0,0.0
20,66,0,23,0,0.0
21,81,0,15,0,0.0
22,104,0,23,0,0.0
23,131,0,27,0,0.0
24,182,0,51,0,0.0
25,246,0,64,0,0.0
26,361,1,115,1,0.002770083102493075
27,504,1,143,0,0.001984126984126984
28,655,1,151,0,0.0015267175572519084
29,860,1,205,0,0.0011627906976744186
30,1018,3,158,2,0.0029469548133595285
31,1332,4,314,1,0.003003003003003003
32,1646,4,314,0,0.002430133657351154
33,2179,6,533,2,0.0027535566773749425
34,2649,6,470,0,0.0022650056625141564
35,2992,8,343,2,0.00267379679144385
36,3582,16,590,8,0.00446677833612507
37,4474,21,892,5,0.004693786320965579
38,5283,28,809,7,0.005300018928639031
39,5588,31,305,3,0.005547602004294917
40,6909,49,1321,18,0.0070921985815602835
41,7697,58,788,9,0.007535403403923607
42,8271,68,574,10,0.008221496796034337
43,8788,86,517,18,0.00978607191624943
44,9618,108,830,22,0.011228945726762321
45,10180,128,562,20,0.012573673870333988
46,10711,146,531,18,0.013630846793016524
47,11129,158,418,12,0.014197142600413335
48,11524,168,395,10,0.014578271433530025
49,11781,186,257,18,0.01578813343519226
50,12051,204,270,18,0.01692805576300722
51,12297,220,246,16,0.017890542408717573
52,12639,243,342,23,0.019226204604794683
53,12942,273,303,30,0.021094112192860455
54,13244,295,302,22,0.02227423739051646
55,13560,319,316,24,0.023525073746312686
56,13806,337,246,18,0.024409676952049833
57,13945,350,139,13,0.02509860164933668
58,14041,368,96,18,0.02620895947582081
59,14226,384,185,16,0.026992830029523407
60,14350,393,124,9,0.027386759581881533
61,14476,410,126,17,0.028322741088698537
62,14595,431,119,21,0.029530661185337443
63,14671,443,76,12,0.03019562402017586
64,14749,452,78,9,0.030646145501389926
65,14795,470,46,18,0.031767489016559645
66,14873,491,78,21,0.03301284206279836
67,14925,510,52,19,0.034170854271356785
68,15002,522,77,12,0.03479536061858419
69,15071,530,69,8,0.03516687678322606
70,15148,536,77,6,0.03538420913651967
71,15225,542,77,6,0.03559934318555008
72,15274,549,49,7,0.035943433285321465
73,15357,569,83,20,0.03705150745588331
74,15402,580,45,11,0.03765744708479418
75,15452,584,50,4,0.03779446026404349
76,15531,589,79,5,0.03792415169660679
77,15558,596,27,7,0.03830826584393881
78,15597,598,39,2,0.038340706546130664
79,15621,600,24,2,0.03840983291722681
80,15650,606,29,6,0.038722044728434504
81,15684,608,34,2,0.03876562101504718
