,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,3,Mar 08,0,3,0,0.0
23,3,Mar 09,0,0,0,0.0
24,3,Mar 10,0,0,0,0.0
25,3,Mar 11,0,0,0,0.0
26,3,Mar 12,0,0,0,0.0
27,3,Mar 13,0,0,0,0.0
28,5,Mar 14,0,2,0,0.0
29,5,Mar 15,0,0,0,0.0
30,8,Mar 16,0,3,0,0.0
31,10,Mar 17,0,2,0,0.0
32,14,Mar 18,1,4,0,0.07142857142857142
33,18,Mar 19,1,4,0,0.05555555555555555
34,20,Mar 20,1,2,0,0.05
35,24,Mar 21,2,4,1,0.08333333333333333
36,27,Mar 22,2,3,0,0.07407407407407407
37,33,Mar 23,3,6,1,0.09090909090909091
38,39,Mar 24,4,6,1,0.10256410256410256
39,39,Mar 25,5,0,1,0.1282051282051282
40,44,Mar 26,5,5,0,0.11363636363636363
41,48,Mar 27,5,4,0,0.10416666666666667
42,48,Mar 28,5,0,0,0.10416666666666667
43,48,Mar 29,5,0,0,0.10416666666666667
44,49,Mar 30,5,1,0,0.10204081632653061
45,51,Mar 31,5,2,0,0.09803921568627451
46,54,Apr 01,6,3,1,0.1111111111111111
47,56,Apr 02,6,2,0,0.10714285714285714
48,61,Apr 03,6,5,0,0.09836065573770492
49,70,Apr 04,8,9,2,0.11428571428571428
50,88,Apr 05,9,18,1,0.10227272727272728
51,123,Apr 06,12,35,3,0.0975609756097561
52,164,Apr 07,17,41,5,0.10365853658536585
53,218,Apr 08,20,54,3,0.09174311926605505
54,330,Apr 09,21,112,1,0.06363636363636363
55,424,Apr 10,27,94,6,0.06367924528301887
56,482,Apr 11,30,58,3,0.06224066390041494
57,621,Apr 12,34,139,4,0.05475040257648953
58,803,Apr 13,39,182,5,0.048567870485678705
59,1012,Apr 14,46,209,7,0.045454545454545456
60,1231,Apr 15,50,219,4,0.04061738424045491
61,1572,Apr 16,60,341,10,0.03816793893129771
62,1838,Apr 17,75,266,15,0.040805223068552776
63,2144,Apr 18,84,306,9,0.03917910447761194
64,2456,Apr 19,91,312,7,0.03705211726384365
65,2948,Apr 20,101,492,10,0.03426051560379918
66,3382,Apr 21,110,434,9,0.03252513305736251
67,3772,Apr 22,120,390,10,0.031813361611876985
68,4186,Apr 23,127,414,7,0.030339225991399904
69,4689,Apr 24,131,503,4,0.027937726594156536
70,4998,Apr 25,140,309,9,0.028011204481792718
71,5416,Apr 26,145,418,5,0.026772525849335302
72,5913,Apr 27,152,497,7,0.025706071368171823
73,6462,Apr 28,155,549,3,0.023986381925100587
74,7103,Apr 29,163,641,8,0.022948050119667746
75,7667,Apr 30,168,564,5,0.021912090778661797
76,8238,May 01,170,571,2,0.020636076717649915
77,8790,May 02,175,552,5,0.019908987485779295
78,9455,May 03,177,665,2,0.01872025383395029
79,10143,May 04,182,688,5,0.017943409247757072
80,10929,May 05,183,786,1,0.01674444139445512
81,11719,May 06,186,790,3,0.015871661404556703
82,12425,May 07,199,706,13,0.016016096579476863
