,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
0,USA,240344,"+25,341",5807.0,+705,10365.0,224172,5421.0,726.0,18.0
1,Italy,115242,"+4,668",13915.0,+760,18278.0,83049,4053.0,1906.0,230.0
2,Spain,110238,"+6,120",10096.0,+709,26743.0,73399,6092.0,2358.0,216.0
3,Germany,84688,"+6,707",1104.0,+173,21400.0,62184,3936.0,1011.0,13.0
4,France,59105,"+2,116",4503.0,+471,12428.0,42174,6399.0,905.0,69.0
5,Iran,50468,"+2,875",3160.0,+124,16711.0,30597,3956.0,601.0,38.0
6,UK,33718,"+4,244",2921.0,+569,135.0,30662,163.0,497.0,43.0
7,Switzerland,18827,"+1,059",536.0,+48,4013.0,14278,348.0,2175.0,62.0
8,Turkey,18135,"+2,456",356.0,+79,415.0,17364,1101.0,215.0,4.0
9,Belgium,15348,"+1,384",1011.0,+183,2495.0,11842,1144.0,1324.0,87.0
10,Netherlands,14697,"+1,083",1339.0,+166,250.0,13108,1053.0,858.0,78.0
11,Canada,11131,"+1,400",161.0,+47,1906.0,9064,120.0,295.0,4.0
12,Austria,11108,+397,158.0,+12,1749.0,9201,227.0,1233.0,18.0
13,S. Korea,9976,+89,169.0,+4,5828.0,3979,55.0,195.0,3.0
14,Portugal,9034,+783,209.0,+22,68.0,8757,230.0,886.0,20.0
15,Brazil,7910,"+1,030",299.0,+57,127.0,7484,296.0,37.0,1.0
16,Israel,6857,+765,36.0,+10,338.0,6483,107.0,792.0,4.0
17,Sweden,5568,+621,308.0,+69,103.0,5157,429.0,551.0,30.0
18,Norway,5141,+264,50.0,+6,32.0,5059,96.0,948.0,9.0
19,Australia,5139,+91,27.0,+4,345.0,4767,50.0,202.0,1.0
20,Ireland,3849,+402,98.0,+13,5.0,3746,109.0,779.0,20.0
21,Czechia,3805,+216,44.0,+5,67.0,3694,72.0,355.0,4.0
22,Russia,3548,+771,30.0,+6,235.0,3283,8.0,24.0,0.2
23,Chile,3404,+373,18.0,+2,335.0,3051,31.0,178.0,0.9
24,Denmark,3386,+279,123.0,+19,1089.0,2174,153.0,585.0,21.0
25,Ecuador,3163,+405,120.0,+22,58.0,2985,100.0,179.0,7.0
26,Malaysia,3116,+208,50.0,+5,767.0,2299,105.0,96.0,2.0
27,Poland,2946,+392,57.0,+14,56.0,2833,50.0,78.0,2.0
28,Romania,2738,+278,115.0,+23,267.0,2356,78.0,142.0,6.0
29,Philippines,2633,+322,107.0,+11,51.0,2475,1.0,24.0,1.0
30,India,2536,+538,72.0,+14,189.0,2275,0.0,2.0,0.05
31,Luxembourg,2487,+168,30.0,+1,80.0,2377,31.0,3973.0,48.0
32,Pakistan,2386,+268,34.0,+7,107.0,2245,9.0,11.0,0.2
33,Japan,2384,0,57.0,0,472.0,1855,69.0,19.0,0.5
34,Saudi Arabia,1885,+165,21.0,+5,328.0,1536,31.0,54.0,0.6
35,Thailand,1875,+104,15.0,+3,505.0,1355,23.0,27.0,0.2
36,Indonesia,1790,+113,170.0,+13,112.0,1508,0.0,7.0,0.6
37,Greece,1544,+129,53.0,+2,61.0,1430,91.0,148.0,5.0
38,Finland,1518,+72,19.0,+2,300.0,1199,65.0,274.0,3.0
